last_name, first_name,year,pitch_hand,n,n_sl_formatted,sl_avg_speed,sl_avg_spin,sl_avg_break_x,sl_avg_break_z,sl_avg_break,sl_range_speed,n_cukc_formatted,cu_avg_speed,cu_avg_spin,cu_avg_break_x,cu_avg_break_z,cu_avg_break,cu_range_speed,
Colome, Alex,2019,R,975,,,,,,,,,,,,,,,
Diaz, Jairo,2019,R,888,43.9,88.2,2413,1.6,-37.4,2.7,1.3,,,,,,,,
Familia, Jeurys,2019,R,1041,26.5,88.1,2245,0.1,-31.5,5.1,1.4,,,,,,,,
Richard, Clayton,2019,L,728,25.9,79.6,2219,-0.7,-46.8,3.9,2,,,,,,,,
Romo, Sergio,2019,R,995,59.5,77.4,2830,14.8,-38.1,17.8,1.7,,,,,,,,
Buttrey, Ty,2019,R,1210,29.5,83.8,1868,2.5,-43.0,4.3,1.6,,,,,,,,
Hernandez, Elieser,2019,R,1442,33.2,78.5,2245,10.6,-33.4,16.8,1.8,,,,,,,,
Swarzak, Anthony,2019,R,940,59.3,86.1,2449,4.5,-34.3,5.8,1.3,,,,,,,,
Anderson, Justin,2019,R,895,52.0,84.5,2260,8.4,-35.0,10,1.5,,,,,,,,
Garcia, Edgar,2019,R,723,48.6,87.1,2357,4.5,-33.2,7.5,1.3,,,,,,,,
Parsons, Wes,2019,R,636,36.3,85.9,2512,2.9,-38.0,4.7,2.1,,,,,,,,
Sale, Chris,2019,L,2465,38.4,79.0,2492,-14.0,-49.8,14.9,2.4,,,,,,,,
Stumpf, Daniel,2019,L,522,37.9,81.4,2257,-3.7,-41.8,5,1.9,,,,,,,,
Givens, Mychal,2019,R,1092,15.2,87.1,2476,4.4,-31.5,7.2,1.9,,,,,,,,
Hand, Brad,2019,L,946,54.1,81.2,2474,-15.8,-45.6,16.1,1.4,,,,,,,,
Hudson, Daniel,2019,R,1217,23.2,86.7,2642,2.3,-35.2,4.3,1.8,,,,,,,,
Armstrong, Shawn,2019,R,1132,12.4,83.0,2863,13.1,-42.6,13.6,1.6,,,,,,,,
McFarland, T.J.,2019,L,894,15.5,80.9,2252,-5.3,-46.6,6.5,1.2,,,,,,,,
Liriano, Francisco,2019,L,1132,30.3,87.0,2289,-2.1,-30.4,7.4,2.5,,,,,,,,
Garrett, Amir,2019,L,949,57.9,85.8,1832,-0.7,-33.4,4.3,1.3,,,,,,,,
Cimber, Adam,2019,R,798,32.2,75.4,2153,5.2,-46.2,6.3,1.5,,,,,,,,
Sabathia, CC,2019,L,1727,30.2,79.2,2208,-10.7,-41.9,11.4,1.3,,,,,,,,
Chafin, Andrew,2019,L,893,38.6,84.4,2361,-0.4,-38.8,1.8,1.2,,,,,,,,
Keller, Brad,2019,R,2711,31.3,84.9,2510,7.2,-44.0,8.9,1.7,,,,,,,,
